,unique_tx,city,state,zipcode,credit_card_limit,date,transaction_dollar_amount,Long,Lat,date_only,hour_only,day_of_the_week,num_day,month_only,year_only,session,classification
2170,1997929794676601,Atlanta,NY,14808,21000,2015-10-29 06:28:12,224.19,-77.5289438927424,42.5991849311068,2015-10-29,6,Thursday,4,10,2015,Late Night,Fraud
2179,1997929794676601,Atlanta,NY,14808,21000,2015-08-25 23:14:15,133.76,106.584368645768,25.8435446425579,2015-08-25,23,Tuesday,2,8,2015,Evening-Night,Fraud
2251,1997929794676601,Atlanta,NY,14808,21000,2015-10-16 23:11:35,94.91,97.8429796060812,-32.2691734093843,2015-10-16,23,Friday,5,10,2015,Evening-Night,Fraud
2319,1997929794676601,Atlanta,NY,14808,21000,2015-09-25 20:26:23,58.75,8.78638870048173,59.9279589853677,2015-09-25,20,Friday,5,9,2015,Evening-Night,Fraud
2446,7482288151831611,Birmingham,NJ,8011,4000,2015-09-25 18:03:30,23.83,27.7641155762784,34.4088674982361,2015-09-25,18,Friday,5,9,2015,Afternoon,Fraud
2476,7482288151831611,Birmingham,NJ,8011,4000,2015-10-03 12:41:12,0.5,-74.6813003212998,40.0564550406517,2015-10-03,12,Saturday,6,10,2015,Morning,Fraud
2670,8137811493121777,Washington,NH,3280,15000,2015-10-07 17:19:44,69.79,142.545099835676,11.9524383499472,2015-10-07,17,Wednesday,3,10,2015,Afternoon,Fraud
2700,8137811493121777,Washington,NH,3280,15000,2015-10-03 19:31:06,14.84,58.2899564697145,11.0422853879517,2015-10-03,19,Saturday,6,10,2015,Evening-Night,Fraud
2744,8137811493121777,Washington,NH,3280,15000,2015-10-07 20:48:39,156.08,149.652039198886,8.66010442627118,2015-10-07,20,Wednesday,3,10,2015,Evening-Night,Fraud
2790,8137811493121777,Washington,NH,3280,15000,2015-08-15 22:24:14,14.27,12.0767820174879,16.2100620701901,2015-08-15,22,Saturday,6,8,2015,Evening-Night,Fraud
2795,8137811493121777,Washington,NH,3280,15000,2015-09-08 23:06:55,19.22,142.133547251424,-20.0717751215984,2015-09-08,23,Tuesday,2,9,2015,Evening-Night,Fraud
2996,7804216189681274,Los Angeles,CA,90001,20000,2015-10-10 21:32:56,70.18,7.00716605443784,29.2350937485694,2015-10-10,21,Saturday,6,10,2015,Evening-Night,Fraud
3006,7804216189681274,Los Angeles,CA,90001,20000,2015-09-25 02:18:13,90.94,25.3076567015566,30.7669440737754,2015-09-25,2,Friday,5,9,2015,Late Night,Fraud
3025,7804216189681274,Los Angeles,CA,90001,20000,2015-10-05 18:08:01,58.19,124.162870144568,4.88634343141375,2015-10-05,18,Monday,1,10,2015,Afternoon,Fraud
3046,7804216189681274,Los Angeles,CA,90001,20000,2015-10-08 11:26:42,11.9,-118.168393368418,33.9870443193554,2015-10-08,11,Thursday,4,10,2015,Morning,Fraud
3107,7804216189681274,Los Angeles,CA,90001,20000,2015-09-08 20:33:55,96.08,7.42119442858175,53.8268518977313,2015-09-08,20,Tuesday,2,9,2015,Evening-Night,Fraud
3170,7804216189681274,Los Angeles,CA,90001,20000,2015-08-01 09:44:59,91.92,-118.293336078215,34.0377166650926,2015-08-01,9,Saturday,6,8,2015,Morning,Fraud
3178,7804216189681274,Los Angeles,CA,90001,20000,2015-08-07 21:35:10,15.47,27.7044933609872,4.14462580271774,2015-08-07,21,Friday,5,8,2015,Evening-Night,Fraud
3251,7804216189681274,Los Angeles,CA,90001,20000,2015-09-08 03:30:07,981.92,-118.25610210688,33.9685625855522,2015-09-08,3,Tuesday,2,9,2015,Late Night,Fraud
3264,7804216189681274,Los Angeles,CA,90001,20000,2015-09-20 23:26:27,66.46,5.00046945619969,53.307022924079,2015-09-20,23,Sunday,0,9,2015,Evening-Night,Fraud
3340,7804216189681274,Los Angeles,CA,90001,20000,2015-08-28 00:05:48,102.29,34.5976112874496,48.127755021181,2015-08-28,24,Friday,5,8,2015,Evening-Night,Fraud
3438,7804216189681274,Los Angeles,CA,90001,20000,2015-08-23 18:10:58,39.86,20.7529201212533,2.93492327009713,2015-08-23,18,Sunday,0,8,2015,Afternoon,Fraud
3474,7804216189681274,Los Angeles,CA,90001,20000,2015-09-01 17:31:31,71.62,23.9018990445175,11.2775770028734,2015-09-01,17,Tuesday,2,9,2015,Afternoon,Fraud
3520,7804216189681274,Los Angeles,CA,90001,20000,2015-10-07 21:08:15,155.28,103.942549638001,11.417125905743,2015-10-07,21,Wednesday,3,10,2015,Evening-Night,Fraud
3538,8060656990279276,Phoenix,NY,13135,5000,2015-08-22 02:02:02,162.37,-76.2774044944226,43.2245516964577,2015-08-22,2,Saturday,6,8,2015,Late Night,Fraud
3666,4973517790485920,Houston,PA,15342,4000,2015-10-08 11:38:59,13.27,-80.1465110563362,40.2546074093293,2015-10-08,11,Thursday,4,10,2015,Morning,Fraud
3716,4973517790485920,Houston,PA,15342,4000,2015-08-18 04:06:54,16.2,-80.1636807501425,40.3103961045847,2015-08-18,4,Tuesday,2,8,2015,Late Night,Fraud
3846,4973517790485920,Houston,PA,15342,4000,2015-09-30 20:38:42,33.3,81.0513902395285,51.5109410659297,2015-09-30,20,Wednesday,3,9,2015,Evening-Night,Fraud
3908,4973517790485920,Houston,PA,15342,4000,2015-10-16 00:44:46,15.74,103.607313837544,55.5261732478475,2015-10-16,24,Friday,5,10,2015,Evening-Night,Fraud
3999,7869254138083290,Washington,NH,3280,10000,2015-10-28 01:20:22,49.81,7.80142820352696,-5.08714809994637,2015-10-28,1,Wednesday,3,10,2015,Late Night,Fraud
4070,8536914250563809,Colorado Springs,CO,80509,14000,2015-08-06 22:34:14,75.17,0.220646206033606,-16.8723699430951,2015-08-06,22,Thursday,4,8,2015,Evening-Night,Fraud
4135,8536914250563809,Colorado Springs,CO,80509,14000,2015-09-27 04:19:45,79.21,86.6750420734552,-27.7337622534465,2015-09-27,4,Sunday,0,9,2015,Late Night,Fraud
4168,8536914250563809,Colorado Springs,CO,80509,14000,2015-10-07 20:36:45,94.44,61.9085708062851,63.0491596413977,2015-10-07,20,Wednesday,3,10,2015,Evening-Night,Fraud
4271,8536914250563809,Colorado Springs,CO,80509,14000,2015-08-20 17:03:31,90.43,-0.338153084888745,-32.8858926326355,2015-08-20,17,Thursday,4,8,2015,Afternoon,Fraud
4281,8536914250563809,Colorado Springs,CO,80509,14000,2015-09-10 19:05:22,69.17,-5.41557933048653,51.0860511077441,2015-09-10,19,Thursday,4,9,2015,Evening-Night,Fraud
4289,8536914250563809,Colorado Springs,CO,80509,14000,2015-09-27 03:43:06,11.02,13.146949157104,26.9464166037319,2015-09-27,3,Sunday,0,9,2015,Late Night,Fraud
4305,8536914250563809,Colorado Springs,CO,80509,14000,2015-08-26 21:36:54,128.65,25.2631077722737,-3.5970729611199,2015-08-26,21,Wednesday,3,8,2015,Evening-Night,Fraud
4315,2440730617592819,Washington,NH,3280,30000,2015-10-20 22:42:43,40.43,102.307762347827,-12.0855254710311,2015-10-20,22,Tuesday,2,10,2015,Evening-Night,Fraud
4401,2440730617592819,Washington,NH,3280,30000,2015-09-11 18:07:34,0.04,-72.0775539106579,43.1826732985208,2015-09-11,18,Friday,5,9,2015,Afternoon,Fraud
4445,2440730617592819,Washington,NH,3280,30000,2015-10-10 01:03:41,115.23,131.226597474408,7.86586520481852,2015-10-10,1,Saturday,6,10,2015,Late Night,Fraud
4446,2440730617592819,Washington,NH,3280,30000,2015-10-14 19:45:14,71.89,30.5141243654746,66.0422042793184,2015-10-14,19,Wednesday,3,10,2015,Evening-Night,Fraud
4462,2440730617592819,Washington,NH,3280,30000,2015-10-08 20:32:12,100.86,86.3379289445736,-6.27794245454501,2015-10-08,20,Thursday,4,10,2015,Evening-Night,Fraud
4476,2440730617592819,Washington,NH,3280,30000,2015-09-12 21:08:47,121.52,34.7195179425473,68.6181311829875,2015-09-12,21,Saturday,6,9,2015,Evening-Night,Fraud
4514,2440730617592819,Washington,NH,3280,30000,2015-09-03 17:16:05,249.87,79.8659079226048,65.4369905595597,2015-09-03,17,Thursday,4,9,2015,Afternoon,Fraud
4567,2440730617592819,Washington,NH,3280,30000,2015-10-25 21:48:25,947.96,15.8223960136388,47.1981443786142,2015-10-25,21,Sunday,0,10,2015,Evening-Night,Fraud
4620,2440730617592819,Washington,NH,3280,30000,2015-08-27 12:43:02,96.07,-72.131932858168,43.2397375654224,2015-08-27,12,Thursday,4,8,2015,Morning,Fraud
4663,2440730617592819,Washington,NH,3280,30000,2015-10-10 21:47:46,49.36,7.21990150981576,-8.74934409212985,2015-10-10,21,Saturday,6,10,2015,Evening-Night,Fraud
4671,2440730617592819,Washington,NH,3280,30000,2015-08-27 19:20:30,0.02,-72.1720535032062,43.1531226682961,2015-08-27,19,Thursday,4,8,2015,Evening-Night,Fraud
4735,2440730617592819,Washington,NH,3280,30000,2015-10-28 00:08:41,87.87,86.1216013268457,65.0116121874925,2015-10-28,24,Wednesday,3,10,2015,Evening-Night,Fraud
4845,3999331922264962,Washington,NH,3280,20000,2015-10-15 19:53:12,61.87,35.3773965402103,40.6969429472183,2015-10-15,19,Thursday,4,10,2015,Evening-Night,Fraud
4872,3999331922264962,Washington,NH,3280,20000,2015-08-14 00:30:18,90.57,-4.30631991534262,-29.732620416798,2015-08-14,24,Friday,5,8,2015,Evening-Night,Fraud
4965,3999331922264962,Washington,NH,3280,20000,2015-08-29 21:20:17,24.67,17.5459758042371,51.0737004787443,2015-08-29,21,Saturday,6,8,2015,Evening-Night,Fraud
5050,3999331922264962,Washington,NH,3280,20000,2015-09-11 20:12:46,88.49,128.567684994408,52.2790786767053,2015-09-11,20,Friday,5,9,2015,Evening-Night,Fraud
5126,3999331922264962,Washington,NH,3280,20000,2015-10-23 21:43:54,37.13,116.388311105385,45.560750046666,2015-10-23,21,Friday,5,10,2015,Evening-Night,Fraud
5175,3999331922264962,Washington,NH,3280,20000,2015-09-23 17:05:46,38.02,53.5876577957399,72.2592424766211,2015-09-23,17,Wednesday,3,9,2015,Afternoon,Fraud
5194,3999331922264962,Washington,NH,3280,20000,2015-08-12 16:12:50,5.71,9.12177612031447,32.2789210680518,2015-08-12,16,Wednesday,3,8,2015,Afternoon,Fraud
5200,3999331922264962,Washington,NH,3280,20000,2015-10-21 22:38:00,83.38,100.906705893877,10.7914927757886,2015-10-21,22,Wednesday,3,10,2015,Evening-Night,Fraud
5300,2216132730528773,San Francisco,CA,94101,18000,2015-09-12 02:46:23,113.4,-122.759157237,37.8135390168712,2015-09-12,2,Saturday,6,9,2015,Late Night,Fraud
5317,2216132730528773,San Francisco,CA,94101,18000,2015-10-24 02:09:33,20.14,-122.750833631723,37.7064471135709,2015-10-24,2,Saturday,6,10,2015,Late Night,Fraud
5331,2216132730528773,San Francisco,CA,94101,18000,2015-10-04 03:39:33,65.31,-122.705170787165,37.8711166492481,2015-10-04,3,Sunday,0,10,2015,Late Night,Fraud
5338,2216132730528773,San Francisco,CA,94101,18000,2015-10-13 02:01:09,8.41,-122.701310579328,37.8692582577765,2015-10-13,2,Tuesday,2,10,2015,Late Night,Fraud
5357,2216132730528773,San Francisco,CA,94101,18000,2015-09-26 03:36:42,69.94,-122.715743262695,37.716563618254,2015-09-26,3,Saturday,6,9,2015,Late Night,Fraud
5358,2216132730528773,San Francisco,CA,94101,18000,2015-10-16 02:29:33,5.23,-122.722903322247,37.7258512484354,2015-10-16,2,Friday,5,10,2015,Late Night,Fraud
5372,2216132730528773,San Francisco,CA,94101,18000,2015-10-23 12:50:02,92.69,-122.762670867647,37.7261921157726,2015-10-23,12,Friday,5,10,2015,Morning,Fraud
5392,2216132730528773,San Francisco,CA,94101,18000,2015-10-10 02:32:45,22.71,-122.767896124357,37.809259600853,2015-10-10,2,Saturday,6,10,2015,Late Night,Fraud
5460,2216132730528773,San Francisco,CA,94101,18000,2015-08-29 20:55:18,106.35,27.7498186095174,60.9496171275106,2015-08-29,20,Saturday,6,8,2015,Evening-Night,Fraud
5493,2216132730528773,San Francisco,CA,94101,18000,2015-10-03 01:26:27,27.38,-122.773328909168,37.7206263525416,2015-10-03,1,Saturday,6,10,2015,Late Night,Fraud
5517,2216132730528773,San Francisco,CA,94101,18000,2015-08-05 01:34:16,51.6,119.680281271497,-12.56822618986,2015-08-05,1,Wednesday,3,8,2015,Late Night,Fraud
5535,2216132730528773,San Francisco,CA,94101,18000,2015-08-06 19:21:23,95.13,126.477326279593,41.6091884379445,2015-08-06,19,Thursday,4,8,2015,Evening-Night,Fraud
5549,2216132730528773,San Francisco,CA,94101,18000,2015-10-17 01:14:07,69.69,-122.757454462365,37.7208705376116,2015-10-17,1,Saturday,6,10,2015,Late Night,Fraud
5597,2216132730528773,San Francisco,CA,94101,18000,2015-08-14 01:31:54,104.65,-122.724870099851,37.8390266277912,2015-08-14,1,Friday,5,8,2015,Late Night,Fraud
5619,2216132730528773,San Francisco,CA,94101,18000,2015-09-22 05:25:25,9.9,-122.763527891219,37.8565423064067,2015-09-22,5,Tuesday,2,9,2015,Late Night,Fraud
5630,2216132730528773,San Francisco,CA,94101,18000,2015-08-20 23:43:49,108.0,36.5241540906702,25.769190968774,2015-08-20,23,Thursday,4,8,2015,Evening-Night,Fraud
5658,2216132730528773,San Francisco,CA,94101,18000,2015-10-28 22:27:29,67.66,106.698228705254,42.7751725311901,2015-10-28,22,Wednesday,3,10,2015,Evening-Night,Fraud
5726,2216132730528773,San Francisco,CA,94101,18000,2015-09-26 01:07:03,75.49,-122.66976714591,37.7972167193515,2015-09-26,1,Saturday,6,9,2015,Late Night,Fraud
5734,2216132730528773,San Francisco,CA,94101,18000,2015-08-24 19:14:32,42.21,3.24325150077129,45.6609671912015,2015-08-24,19,Monday,1,8,2015,Evening-Night,Fraud
5738,2216132730528773,San Francisco,CA,94101,18000,2015-09-26 03:02:20,65.05,-122.669090953262,37.7511683847449,2015-09-26,3,Saturday,6,9,2015,Late Night,Fraud
5741,2216132730528773,San Francisco,CA,94101,18000,2015-09-06 22:48:50,39.72,73.3852279318971,1.72277102006629,2015-09-06,22,Sunday,0,9,2015,Evening-Night,Fraud
5755,2216132730528773,San Francisco,CA,94101,18000,2015-09-05 02:47:41,15.71,-122.658885957209,37.7988440390254,2015-09-05,2,Saturday,6,9,2015,Late Night,Fraud
5757,2216132730528773,San Francisco,CA,94101,18000,2015-08-01 05:31:22,74.58,-122.729215327475,37.8427831654048,2015-08-01,5,Saturday,6,8,2015,Late Night,Fraud
5768,2216132730528773,San Francisco,CA,94101,18000,2015-09-21 17:14:01,77.41,83.5195795123029,44.6285745774479,2015-09-21,17,Monday,1,9,2015,Afternoon,Fraud
5779,2216132730528773,San Francisco,CA,94101,18000,2015-10-02 17:18:57,44.92,103.973012236744,4.17986934704185,2015-10-02,17,Friday,5,10,2015,Afternoon,Fraud
5813,2216132730528773,San Francisco,CA,94101,18000,2015-08-15 03:39:41,137.4,-122.677658528974,37.7130928426607,2015-08-15,3,Saturday,6,8,2015,Late Night,Fraud
5827,2216132730528773,San Francisco,CA,94101,18000,2015-10-16 02:27:43,6.86,-122.749739958481,37.8688249248229,2015-10-16,2,Friday,5,10,2015,Late Night,Fraud
5869,2216132730528773,San Francisco,CA,94101,18000,2015-08-21 00:33:13,59.28,-3.08795842143733,-15.8731014028844,2015-08-21,24,Friday,5,8,2015,Evening-Night,Fraud
5879,2216132730528773,San Francisco,CA,94101,18000,2015-08-22 02:12:56,94.77,-122.750471871199,37.7784395129561,2015-08-22,2,Saturday,6,8,2015,Late Night,Fraud
5918,9758203643408520,Washington,NH,3280,12000,2015-09-29 15:23:57,38.09,46.769873602702,54.3683685270605,2015-09-29,15,Tuesday,2,9,2015,Afternoon,Fraud
5920,9758203643408520,Washington,NH,3280,12000,2015-08-28 00:12:49,0.04,-72.1855404317421,43.1866714897724,2015-08-28,24,Friday,5,8,2015,Evening-Night,Fraud
5922,9758203643408520,Washington,NH,3280,12000,2015-08-21 19:56:51,54.67,128.799129066086,36.3444268254319,2015-08-21,19,Friday,5,8,2015,Evening-Night,Fraud
5939,9758203643408520,Washington,NH,3280,12000,2015-09-23 18:00:40,18.51,10.0909960526875,36.3853011945369,2015-09-23,18,Wednesday,3,9,2015,Afternoon,Fraud
6059,9758203643408520,Washington,NH,3280,12000,2015-10-21 21:00:57,28.17,170.88272862495,-18.8705976126535,2015-10-21,21,Wednesday,3,10,2015,Evening-Night,Fraud
6063,9758203643408520,Washington,NH,3280,12000,2015-08-01 16:21:04,11.16,3.2917299932714,24.4819265176436,2015-08-01,16,Saturday,6,8,2015,Afternoon,Fraud
6128,9758203643408520,Washington,NH,3280,12000,2015-10-29 02:51:03,21.74,25.7132233355368,48.3738404359959,2015-10-29,2,Thursday,4,10,2015,Late Night,Fraud
6193,9758203643408520,Washington,NH,3280,12000,2015-09-26 19:01:09,15.33,13.604428636103,59.096683023909,2015-09-26,19,Saturday,6,9,2015,Evening-Night,Fraud
6223,9758203643408520,Washington,NH,3280,12000,2015-08-17 18:29:13,39.2,146.000505684103,68.771393730498,2015-08-17,18,Monday,1,8,2015,Afternoon,Fraud
6387,9548629685194612,Columbus,NJ,8022,7000,2015-08-06 11:56:57,62.08,-74.6772106378883,40.0911884239476,2015-08-06,11,Thursday,4,8,2015,Morning,Fraud
6413,9548629685194612,Columbus,NJ,8022,7000,2015-09-30 08:19:05,10.2,-0.0833710778397299,30.3274435937001,2015-09-30,8,Wednesday,3,9,2015,Morning,Fraud
6528,2082491371163072,Houston,PA,15342,10000,2015-10-02 04:00:21,78.25,-80.2989427271013,40.2275034993532,2015-10-02,4,Friday,5,10,2015,Late Night,Fraud
6563,2082491371163072,Houston,PA,15342,10000,2015-08-03 18:18:43,59.49,73.8524451585972,5.35768062992658,2015-08-03,18,Monday,1,8,2015,Afternoon,Fraud
6602,2082491371163072,Houston,PA,15342,10000,2015-08-07 14:35:26,52.16,173.987164530742,-13.8453234409498,2015-08-07,14,Friday,5,8,2015,Afternoon,Fraud
6650,8221913653327075,Topeka,IN,46571,25000,2015-09-01 21:19:57,53.17,81.4521436094605,51.2954511671757,2015-09-01,21,Tuesday,2,9,2015,Evening-Night,Fraud
6699,8221913653327075,Topeka,IN,46571,25000,2015-10-17 21:48:14,162.03,11.5694261646272,57.6700072464082,2015-10-17,21,Saturday,6,10,2015,Evening-Night,Fraud
6709,8221913653327075,Topeka,IN,46571,25000,2015-09-13 19:13:49,65.6,100.350095900978,73.7943482146915,2015-09-13,19,Sunday,0,9,2015,Evening-Night,Fraud
6754,8221913653327075,Topeka,IN,46571,25000,2015-09-04 21:06:53,103.99,-5.92946570320747,56.1729202489803,2015-09-04,21,Friday,5,9,2015,Evening-Night,Fraud
6844,8221913653327075,Topeka,IN,46571,25000,2015-08-27 21:10:40,106.43,-0.17615172273291,35.0091149642022,2015-08-27,21,Thursday,4,8,2015,Evening-Night,Fraud
6856,8221913653327075,Topeka,IN,46571,25000,2015-10-30 02:36:34,164.91,8.54622179990249,47.7987066551966,2015-10-30,2,Friday,5,10,2015,Late Night,Fraud
